timestamp,power_consumption_w,power_injected,is_fault
2023-01-01 00:47:00,1.663,1.663,0
2023-01-01 06:56:00,1.184,1.184,0
2023-01-01 08:19:00,1.015,1.015,0
2023-01-01 14:30:00,1.613,1.613,0
2023-01-02 09:22:00,1.211,1.211,0
2023-01-02 09:50:00,1.18,1.18,0
2023-01-02 12:08:00,1.587,1.587,0
2023-01-02 19:04:00,1.046,1.046,0
2023-01-02 19:24:00,1.037,1.037,0
2023-01-02 21:48:00,1.343,1.343,0
2023-01-03 05:32:00,1.228,1.228,0
2023-01-03 05:43:00,1.269,1.269,0
2023-01-03 11:33:00,1.539,1.539,0
2023-01-03 22:50:00,1.302,1.302,0
2023-01-04 10:31:00,1.487,1.487,0
2023-01-04 14:40:00,1.624,1.624,0
2023-01-05 19:34:00,1.072,1.072,0
2023-01-05 19:40:00,1.064,1.064,0
2023-01-05 19:42:00,1.045,1.045,0
2023-01-06 01:39:00,1.546,1.546,0
2023-01-06 04:45:00,1.345,1.345,0
2023-01-06 07:31:00,1.125,1.125,0
2023-01-06 13:18:00,1.585,1.585,0
2023-01-06 14:25:00,1.642,1.642,0
2023-01-06 19:56:00,1.068,1.068,0
2023-01-06 22:49:00,1.321,1.321,0
2023-01-07 01:39:00,1.531,1.531,0
2023-01-07 02:13:00,1.546,1.546,0
2023-01-07 08:26:00,1.045,1.045,0
2023-01-07 11:42:00,1.541,1.541,0
2023-01-07 19:07:00,1.089,1.089,0
2023-01-07 20:09:00,1.114,1.114,0
2023-01-07 21:35:00,1.342,1.342,0
2023-01-08 09:33:00,1.232,1.232,0
2023-01-08 10:19:00,1.431,1.431,0
2023-01-09 07:09:00,1.067,1.067,0
2023-01-09 09:12:00,1.219,1.219,0
2023-01-09 20:18:00,1.27,1.27,0
2023-01-10 11:38:00,1.553,1.553,0
2023-01-10 21:26:00,1.304,1.304,0
2023-01-11 20:51:00,1.249,1.249,0
2023-01-11 20:56:00,1.174,1.174,0
2023-01-12 06:39:00,1.201,1.201,0
2023-01-13 03:53:00,1.554,1.554,0
2023-01-13 05:50:00,1.234,1.234,0
2023-01-13 16:33:00,1.369,1.369,0
2023-01-13 21:35:00,1.328,1.328,0
2023-01-14 06:08:00,1.141,1.141,0
2023-01-14 09:43:00,1.274,1.274,0
2023-01-14 22:16:00,1.341,1.341,0
2023-01-15 07:16:00,1.016,1.016,0
2023-01-16 09:13:00,1.235,1.235,0
2023-01-16 09:46:00,1.374,1.374,0
2023-01-16 19:15:00,1.003,1.003,0
2023-01-16 22:26:00,1.375,1.375,0
2023-01-17 03:24:00,1.376,1.376,0
2023-01-17 17:47:00,1.212,1.212,0
2023-01-17 19:44:00,1.095,1.095,0
2023-01-18 00:07:00,1.548,1.548,0
2023-01-18 05:13:00,1.297,1.297,0
2023-01-18 18:07:00,1.032,1.032,0
2023-01-19 02:26:00,1.586,1.586,0
2023-01-19 13:31:00,1.536,1.536,0
2023-01-19 20:10:00,1.241,1.241,0
2023-01-21 06:47:00,1.22,1.22,0
2023-01-22 06:04:00,1.267,1.267,0
2023-01-22 10:04:00,1.409,1.409,0
2023-01-22 13:08:00,1.629,1.629,0
2023-01-23 05:59:00,1.327,1.327,0
2023-01-23 12:21:00,1.605,1.605,0
2023-01-23 14:58:00,1.526,1.526,0
2023-01-23 23:53:00,1.322,1.322,0
2023-01-24 02:07:00,1.559,1.559,0
2023-01-24 06:57:00,1.229,1.229,0
2023-01-24 08:09:00,1.159,1.159,0
2023-01-24 09:27:00,1.188,1.188,0
2023-01-24 10:12:00,1.477,1.477,0
2023-01-24 17:19:00,1.177,1.177,0
2023-01-25 04:39:00,1.368,1.368,0
2023-01-26 06:12:00,1.086,1.086,0
2023-01-27 08:43:00,0.968,0.968,0
2023-01-27 14:53:00,1.602,1.602,0
2023-01-27 15:13:00,1.528,1.528,0
2023-01-28 19:38:00,1.136,1.136,0
2023-01-29 01:07:00,1.568,1.568,0
2023-01-29 03:55:00,1.427,1.427,0
2023-01-29 08:07:00,1.091,1.091,0
2023-01-29 08:49:00,1.09,1.09,0
2023-01-29 09:04:00,1.236,1.236,0
2023-01-29 20:56:00,1.187,1.187,0
2023-01-30 07:53:00,0.97,0.97,0
2023-01-31 12:57:00,1.565,1.565,0
2023-02-01 01:29:00,1.609,1.609,0
2023-02-01 03:14:00,1.473,1.473,0
2023-02-01 04:16:00,1.317,1.317,0
2023-02-01 05:31:00,1.427,1.427,0
2023-02-01 06:20:00,1.225,1.225,0
2023-02-01 06:30:00,1.155,1.155,0
2023-02-01 11:06:00,1.653,1.653,0
2023-02-01 15:16:00,1.551,1.551,0
2023-02-01 16:14:00,1.442,1.442,0
2023-02-02 03:45:00,1.429,1.429,0
2023-02-02 15:55:00,1.551,1.551,0
2023-02-02 22:17:00,1.309,1.309,0
2023-02-03 00:07:00,1.574,1.574,0
2023-02-03 08:00:00,0.964,0.964,0
2023-02-03 09:57:00,1.127,1.127,0
2023-02-03 10:39:00,1.403,1.403,0
2023-02-03 17:53:00,1.169,1.169,0
2023-02-04 02:46:00,1.634,1.634,0
2023-02-04 11:17:00,1.594,1.594,0
2023-02-04 18:29:00,1.109,1.109,0
2023-02-05 01:48:00,1.596,1.596,0
2023-02-05 05:51:00,1.412,1.412,0
2023-02-05 06:35:00,1.232,1.232,0
2023-02-05 13:23:00,1.624,1.624,0
2023-02-05 14:06:00,1.516,1.516,0
2023-02-05 21:55:00,1.314,1.314,0
2023-02-06 11:26:00,1.572,1.572,0
2023-02-06 13:09:00,1.584,1.584,0
2023-02-06 20:04:00,1.201,1.201,0
2023-02-06 22:13:00,1.354,1.354,0
2023-02-07 01:25:00,1.524,1.524,0
2023-02-07 03:52:00,1.472,1.472,0
2023-02-07 16:23:00,1.422,1.422,0
2023-02-08 01:48:00,1.535,1.535,0
2023-02-08 06:43:00,1.2,1.2,0
2023-02-08 09:04:00,1.258,1.258,0
2023-02-08 22:03:00,1.346,1.346,0
2023-02-09 18:15:00,1.048,1.048,0
2023-02-11 11:03:00,1.536,1.536,0
2023-02-12 03:36:00,1.48,1.48,0
2023-02-12 04:38:00,1.4,1.4,0
2023-02-12 15:13:00,1.59,1.59,0
2023-02-12 20:23:00,1.214,1.214,0
2023-02-13 00:11:00,1.752,1.752,0
2023-02-13 04:08:00,1.315,1.315,0
2023-02-13 05:08:00,1.249,1.249,0
2023-02-13 11:45:00,1.564,1.564,0
2023-02-13 12:18:00,1.649,1.649,0
2023-02-13 20:57:00,1.176,1.176,0
2023-02-14 04:08:00,1.352,1.352,0
2023-02-14 08:44:00,1.113,1.113,0
2023-02-14 16:38:00,1.44,1.44,0
2023-02-15 08:11:00,1.029,1.029,0
2023-02-15 09:22:00,1.191,1.191,0
2023-02-15 11:15:00,1.576,1.576,0
2023-02-15 15:06:00,1.61,1.61,0
2023-02-15 22:53:00,1.383,1.383,0
2023-02-16 20:05:00,1.179,1.179,0
2023-02-16 20:58:00,1.2,1.2,0
2023-02-17 02:51:00,1.532,1.532,0
2023-02-17 09:25:00,1.269,1.269,0
2023-02-17 13:21:00,1.666,1.666,0
2023-02-17 13:30:00,1.59,1.59,0
2023-02-18 07:23:00,1.048,1.048,0
2023-02-18 07:35:00,1.044,1.044,0
2023-02-18 17:50:00,1.182,1.182,0
2023-02-18 19:22:00,1.138,1.8045845167025485,1
2023-02-18 19:36:00,1.105,1.105,0
2023-02-19 01:00:00,1.595,1.595,0
2023-02-19 08:49:00,1.077,1.077,0
2023-02-19 14:43:00,1.62,1.62,0
2023-02-19 16:01:00,1.501,1.501,0
2023-02-19 16:53:00,1.437,1.437,0
2023-02-20 07:06:00,1.065,1.065,0
2023-02-20 07:47:00,1.055,1.055,0
2023-02-20 13:11:00,1.661,1.661,0
2023-02-20 18:32:00,1.077,1.709477765071652,1
2023-02-21 01:06:00,1.63,1.63,0
2023-02-21 11:04:00,1.543,1.543,0
2023-02-22 00:38:00,1.588,1.588,0
2023-02-22 02:47:00,1.577,1.577,0
2023-02-22 14:24:00,1.602,1.602,0
2023-02-23 02:51:00,1.597,1.597,0
2023-02-23 10:46:00,1.455,1.455,0
2023-02-23 11:16:00,1.628,1.628,0
2023-02-23 19:58:00,1.065,1.065,0
2023-02-24 01:49:00,1.561,1.561,0
2023-02-24 04:23:00,1.292,1.292,0
2023-02-24 19:14:00,1.068,1.068,0
2023-02-25 04:01:00,1.419,1.419,0
2023-02-25 13:36:00,1.641,1.641,0
2023-02-25 15:40:00,1.527,1.527,0
2023-02-25 22:45:00,1.399,1.399,0
2023-02-26 12:01:00,1.639,1.639,0
2023-02-27 01:06:00,1.647,1.647,0
2023-02-27 12:29:00,1.587,1.587,0
2023-02-27 13:03:00,1.643,1.643,0
2023-02-27 14:52:00,1.62,1.62,0
2023-02-27 15:30:00,1.519,1.519,0
2023-02-28 14:28:00,1.614,1.614,0
2023-02-28 17:58:00,1.215,1.215,0
2023-03-01 00:00:00,1.656,1.656,0
2023-03-01 00:13:00,1.61,1.61,0
2023-03-01 02:19:00,1.587,1.587,0
2023-03-02 06:30:00,1.25,1.25,0
2023-03-02 12:40:00,1.544,1.544,0
2023-03-03 02:54:00,1.548,1.548,0
2023-03-03 03:26:00,1.494,1.494,0
2023-03-03 20:00:00,1.268,1.268,0
2023-03-04 01:30:00,1.544,1.544,0
2023-03-04 06:18:00,1.233,1.233,0
2023-03-04 17:12:00,1.126,1.126,0
2023-03-05 07:40:00,0.984,0.984,0
2023-03-05 12:55:00,1.557,1.557,0
2023-03-05 19:21:00,0.977,0.977,0
2023-03-06 01:29:00,1.554,1.554,0
2023-03-06 06:02:00,1.211,1.1556001393382092,1
2023-03-06 13:06:00,1.594,1.4418648150766586,1
2023-03-06 13:22:00,1.685,1.4561757507946202,1
2023-03-06 21:12:00,1.334,0.9373902612838408,1
2023-03-06 21:45:00,1.296,1.296,0
2023-03-07 01:11:00,1.593,1.593,0
2023-03-07 02:13:00,1.595,1.595,0
2023-03-07 16:10:00,1.521,1.521,0
2023-03-07 19:16:00,1.016,0.22173526229133575,1
2023-03-07 22:52:00,1.386,1.386,0
2023-03-08 00:42:00,1.657,1.657,0
2023-03-08 14:44:00,1.708,1.708,0
2023-03-08 20:47:00,1.205,1.205,0
2023-03-08 21:37:00,1.39,1.39,0
2023-03-09 09:24:00,1.197,1.197,0
2023-03-09 17:50:00,1.217,1.217,0
2023-03-09 19:33:00,1.079,1.079,0
2023-03-10 01:18:00,1.526,1.526,0
2023-03-10 03:09:00,1.401,1.791452562402144,1
