timestamp,power_consumption_w
2023-01-01 10:12:00,7.687
2023-01-02 07:27:00,5.152
2023-01-02 17:37:00,6.241
2023-01-03 10:27:00,7.216
2023-01-03 23:31:00,7.367
2023-01-04 06:35:00,6.556
2023-01-04 09:16:00,6.058
2023-01-04 16:26:00,7.095
2023-01-04 19:41:00,5.241
2023-01-04 20:17:00,6.179
2023-01-04 22:38:00,7.044
2023-01-05 02:04:00,8.51
2023-01-05 02:24:00,8.424
2023-01-05 03:12:00,7.293
2023-01-05 05:08:00,6.543
2023-01-05 05:09:00,6.615
2023-01-05 12:00:00,8.543
2023-01-05 13:13:00,7.716
2023-01-05 16:30:00,7.167
2023-01-05 19:15:00,5.779
2023-01-05 21:04:00,6.576
2023-01-05 21:54:00,6.399
2023-01-06 01:50:00,7.569
2023-01-06 09:11:00,6.08
2023-01-06 10:36:00,7.433
2023-01-06 10:55:00,7.447
2023-01-06 17:59:00,5.717
2023-01-06 18:49:00,5.322
2023-01-06 19:29:00,5.255
2023-01-06 21:01:00,6.649
2023-01-07 20:43:00,5.995
2023-01-08 01:35:00,8.207
2023-01-08 13:36:00,8.09
2023-01-08 19:27:00,5.032
2023-01-09 10:59:00,6.679
2023-01-09 11:41:00,7.707
2023-01-09 17:12:00,6.187
2023-01-10 16:43:00,7.26
2023-01-10 22:50:00,6.356
2023-01-11 01:01:00,8.087
2023-01-11 07:59:00,5.82
2023-01-11 10:52:00,7.222
2023-01-11 11:25:00,7.93
2023-01-11 11:49:00,7.893
2023-01-11 13:42:00,8.012
2023-01-11 18:58:00,5.154
2023-01-11 22:34:00,6.647
2023-01-12 11:55:00,8.089
2023-01-12 21:05:00,6.577
2023-01-13 02:57:00,8.113
2023-01-13 06:17:00,6.41
2023-01-13 06:44:00,5.589
2023-01-13 14:34:00,7.752
2023-01-13 15:09:00,7.749
2023-01-13 15:53:00,8.004
2023-01-14 02:16:00,8.516
2023-01-14 12:32:00,7.779
2023-01-14 14:48:00,8.154
2023-01-14 22:29:00,6.762
2023-01-15 14:25:00,7.894
2023-01-15 16:10:00,7.353
2023-01-15 22:08:00,6.685
2023-01-15 22:56:00,6.61
2023-01-16 08:23:00,5.259
2023-01-16 21:13:00,6.548
2023-01-18 00:38:00,7.66
2023-01-18 13:51:00,7.973
2023-01-18 20:07:00,6.486
2023-01-18 20:43:00,5.839
2023-01-18 21:05:00,6.954
2023-01-19 11:07:00,8.428
2023-01-20 14:48:00,8.181
2023-01-21 09:14:00,6.269
2023-01-21 12:03:00,7.73
2023-01-21 22:22:00,6.84
2023-01-22 09:25:00,6.435
2023-01-22 10:10:00,7.324
2023-01-22 11:20:00,8.527
2023-01-22 18:18:00,5.343
2023-01-23 00:22:00,7.641
2023-01-23 02:49:00,7.941
2023-01-23 09:17:00,6.366
2023-01-23 15:40:00,7.714
2023-01-23 16:14:00,7.006
2023-01-23 21:10:00,6.852
2023-01-23 21:41:00,6.585
2023-01-24 02:06:00,7.86
2023-01-24 04:08:00,6.73
2023-01-24 08:07:00,4.994
