timestamp,power_consumption_w
2023-01-01 06:22:00,63.506
2023-01-01 17:02:00,57.397
2023-01-02 17:10:00,61.113
2023-01-03 11:02:00,79.91
2023-01-03 14:24:00,77.984
2023-01-04 02:00:00,78.094
2023-01-04 17:22:00,61.311
2023-01-05 08:02:00,50.333
2023-01-05 18:35:00,52.825
2023-01-05 21:00:00,66.985
2023-01-06 04:31:00,68.562
2023-01-06 10:13:00,76.539
2023-01-06 11:53:00,80.572
2023-01-06 20:06:00,60.933
2023-01-06 23:33:00,70.668
2023-01-07 01:34:00,78.7
2023-01-07 10:49:00,74.257
2023-01-07 17:46:00,59.622
2023-01-07 21:10:00,63.35
2023-01-08 04:06:00,63.987
2023-01-08 13:51:00,78.693
2023-01-08 13:57:00,77.752
2023-01-08 16:13:00,74.911
2023-01-08 16:52:00,69.596
2023-01-09 03:13:00,72.362
2023-01-09 04:05:00,72.528
2023-01-09 04:37:00,68.856
2023-01-10 02:27:00,78.19
2023-01-10 04:28:00,70.942
2023-01-10 08:36:00,51.115
2023-01-11 13:27:00,82.016
2023-01-11 16:40:00,76.679
2023-01-11 23:31:00,74.763
2023-01-11 23:49:00,71.46
2023-01-12 14:31:00,80.149
2023-01-13 14:47:00,82.569
2023-01-13 17:25:00,53.487
2023-01-13 23:44:00,71.576
2023-01-14 03:50:00,73.055
2023-01-14 08:50:00,51.846
2023-01-14 08:59:00,53.924
2023-01-14 12:19:00,84.854
2023-01-14 14:57:00,81.787
2023-01-14 18:23:00,52.314
2023-01-14 19:51:00,52.639
2023-01-14 20:08:00,56.636
2023-01-14 23:31:00,75.152
2023-01-15 12:52:00,80.359
2023-01-16 03:45:00,70.594
2023-01-16 07:36:00,50.934
2023-01-16 11:37:00,79.155
2023-01-16 12:15:00,77.325
2023-01-17 03:22:00,71.858
2023-01-17 11:11:00,79.03
2023-01-17 14:32:00,79.806
2023-01-17 14:38:00,81.121
2023-01-17 18:50:00,52.891
2023-01-18 01:17:00,77.549
2023-01-18 02:57:00,75.708
2023-01-18 04:10:00,68.045
2023-01-18 06:01:00,56.372
2023-01-18 10:22:00,72.137
2023-01-18 20:39:00,61.754
2023-01-19 02:07:00,80.44
2023-01-19 02:19:00,83.426
2023-01-19 04:24:00,67.238
2023-01-19 22:31:00,70.483
2023-01-19 23:08:00,72.345
2023-01-20 04:38:00,67.864
2023-01-20 08:40:00,53.869
2023-01-20 10:21:00,74.076
2023-01-20 19:20:00,54.376
2023-01-21 07:13:00,55.603
2023-01-21 14:25:00,81.106
2023-01-21 16:28:00,71.399
2023-01-21 22:25:00,63.703
2023-01-22 05:26:00,63.96
2023-01-22 14:53:00,77.64
2023-01-23 12:01:00,80.782
2023-01-23 12:04:00,80.216
2023-01-23 20:34:00,56.111
2023-01-24 05:55:00,69.443
2023-01-24 21:01:00,69.83
2023-01-24 23:58:00,73.0
2023-01-25 06:26:00,59.916
2023-01-25 16:34:00,73.949
2023-01-26 08:11:00,47.048
2023-01-26 18:51:00,52.772
2023-01-26 23:55:00,76.232
2023-01-27 20:50:00,55.616
2023-01-28 03:49:00,69.832
2023-01-28 10:50:00,73.339
2023-01-28 11:07:00,81.951
2023-01-28 13:31:00,79.409
2023-01-28 17:25:00,63.808
2023-01-28 23:06:00,72.863
2023-01-29 01:37:00,80.093
2023-01-29 14:19:00,82.488
2023-01-29 22:12:00,65.607
2023-01-30 11:31:00,78.18
2023-01-30 12:42:00,78.284
2023-01-30 23:31:00,70.531
2023-01-31 05:12:00,64.096
2023-01-31 07:44:00,52.858
2023-01-31 12:16:00,81.359
2023-01-31 22:22:00,68.178
2023-02-01 03:48:00,70.145
2023-02-01 04:49:00,67.576
2023-02-01 06:52:00,57.021
2023-02-01 11:08:00,81.319
2023-02-01 11:09:00,81.902
2023-02-01 19:28:00,51.475
2023-02-01 19:35:00,52.324
2023-02-02 10:36:00,70.914
2023-02-02 15:08:00,81.318
2023-02-02 17:07:00,59.713
2023-02-02 21:53:00,63.648
2023-02-03 04:36:00,69.39
2023-02-04 08:46:00,50.537
2023-02-04 10:13:00,74.24
2023-02-04 11:24:00,77.67
2023-02-04 11:52:00,81.787
2023-02-04 21:10:00,63.517
2023-02-05 01:00:00,77.599
2023-02-05 14:44:00,80.23
2023-02-05 19:09:00,52.442
2023-02-05 23:48:00,77.535
2023-02-06 13:47:00,80.953
2023-02-06 20:52:00,60.417
2023-02-06 22:08:00,73.645
2023-02-06 23:59:00,73.672
2023-02-07 01:14:00,81.526
2023-02-07 06:20:00,60.329
2023-02-07 09:56:00,61.94
2023-02-07 11:13:00,81.421
2023-02-07 11:54:00,80.466
2023-02-07 19:05:00,51.48
2023-02-08 07:09:00,51.132
2023-02-08 22:28:00,67.671
2023-02-09 14:58:00,80.075
2023-02-09 15:31:00,83.537
2023-02-09 16:29:00,72.734
2023-02-09 21:52:00,64.346
2023-02-10 11:22:00,81.371
2023-02-10 12:17:00,83.588
2023-02-10 12:23:00,78.468
2023-02-10 13:57:00,76.882
2023-02-10 18:25:00,51.796
2023-02-10 18:47:00,52.514
2023-02-12 02:46:00,81.97
2023-02-12 05:05:00,63.509
2023-02-12 15:28:00,80.871
2023-02-12 19:10:00,55.347
2023-02-12 22:26:00,69.69
2023-02-12 23:58:00,73.498
2023-02-13 07:38:00,56.94
2023-02-13 09:27:00,61.765
2023-02-13 14:23:00,78.422
2023-02-13 19:09:00,54.875
2023-02-14 01:41:00,81.877
2023-02-14 03:26:00,72.157
2023-02-14 13:24:00,79.61
2023-02-15 02:03:00,78.862
2023-02-15 11:34:00,80.937
2023-02-16 09:10:00,61.967
2023-02-16 12:14:00,73.855
2023-02-17 17:22:00,56.351
2023-02-18 20:25:00,59.28
2023-02-19 07:50:00,56.779
2023-02-19 18:21:00,50.947
2023-02-19 23:13:00,75.102
